,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,123.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,86,24,0.13603354978354973,0.43728021978021986,109.32183908045977,30.747203579418343,10.34,5.712312312312313,3436,1665,2.2982561635598318,27,5.712312312312313
1,321.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,41,13,0.11180051566080978,0.6157037815126051,135.96,30.47595315225517,14.64,5.5268292682926825,1223,615,2.253267973856209,16,5.5268292682926825
2,2345.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,25,27,0.08683542232960838,0.4596655089096947,79.33783783783784,28.875467356916882,9.78,5.416051660516605,2008,1084,2.076780758556892,13,5.416051660516605
3,4321.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,44,27,0.1397062416141364,0.38562365509733926,110.26984126984127,29.048434442270057,12.67,5.647967479674797,2375,1230,2.175324675324675,20,5.647967479674797
4,432.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,44,27,0.1397062416141364,0.38562365509733926,110.26984126984127,29.048434442270057,12.67,5.647967479674797,2375,1230,2.175324675324675,20,5.647967479674797
5,2893.8,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,54,12,0.08595124716553286,0.45943176928891205,95.66176470588235,29.501565762004176,11.76,5.607758620689655,2261,1160,2.145077720207254,17,5.607758620689655
6,3355.6,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,43,10,0.10091685488424619,0.30928336156597025,121.62,29.089635854341736,14.43,5.736792452830189,2077,1060,2.2098298676748582,10,5.736792452830189
7,3817.4,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,72,6,0.18295522451404805,0.5121269220975102,96.37755102040816,29.074653553866785,11.07,5.425043078690408,3252,1741,2.1331789229878404,73,5.425043078690408
8,4279.2,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,9,1,0.18982426303854877,0.4713151927437642,92.6,27.801204819277107,9.94,5.116022099447513,923,543,1.9607476635514018,19,5.116022099447513
9,4741.0,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,29,46,0.015087719298245608,0.5669364699627857,112.1923076923077,29.612357913144855,12.44,5.669582118561711,2032,1029,2.2355250245338567,22,5.669582118561711
10,5202.8,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,16,10,0.021238471673254287,0.5182971014492754,73.72413793103448,29.816334505666276,9.63,5.0663507109004735,763,422,2.0,11,5.0663507109004735
11,5664.6,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,42,16,0.15149287452207155,0.402737805584521,103.5,29.06562054208274,11.73,5.118545454545455,2445,1375,2.0087399854333574,31,5.118545454545455
12,6126.4,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,25,3,0.0913095238095238,0.5600793650793651,126.625,28.9210233592881,14.62,5.446236559139785,1040,558,2.098566308243728,8,5.446236559139785
13,6588.2,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,23,11,0.07579020013802623,0.43256038647342987,118.4186046511628,27.981726219611684,13.28,4.905587668593449,1715,1038,1.869186046511628,25,4.905587668593449
14,7050.0,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,29,14,0.13522418058132343,0.42674242424242426,97.48979591836735,28.98781134075252,12.14,5.3977401129943505,1641,885,2.0897727272727273,13,5.3977401129943505
15,7511.8,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,40,26,0.09198756747367857,0.45257953466286777,113.25,28.945653590512187,12.57,4.761261261261262,2221,1332,1.8651092690278825,49,4.761261261261262
16,7973.6,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,41,25,0.10359962667302118,0.42609277572580323,123.93877551020408,28.49185350229773,14.19,5.476104598737601,2046,1109,2.109090909090909,19,5.476104598737601
17,8435.4,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,77,34,0.13693643937761585,0.46336424033482865,129.85,29.379412247578394,14.57,5.787186629526462,3579,1795,2.2480446927374302,22,5.787186629526462
